index	inv	GRIB_COMMENT	GRIB_DISCIPLINE	GRIB_ELEMENT
351	UGRD:900 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
352	VGRD:900 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
353	ABSV:900 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
354	CLWMR:900 mb	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
355	ICMR:900 mb	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
356	RWMR:900 mb	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
357	SNMR:900 mb	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
358	GRLE:900 mb	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
359	ICSEV:900 mb	Icing severity [-]	0(Meteorological)	ICSEV
360	HGT:925 mb	Geopotential height [gpm]	0(Meteorological)	HGT
361	TMP:925 mb	Temperature [C]	0(Meteorological)	TMP
362	RH:925 mb	Relative humidity [%]	0(Meteorological)	RH
363	TCDC:925 mb	Total cloud cover [%]	0(Meteorological)	TCDC
364	VVEL:925 mb	Vertical velocity (pressure) [Pa/s]	0(Meteorological)	VVEL
365	DZDT:925 mb	Verical velocity (geometric) [m/s]	0(Meteorological)	DZDT
366	UGRD:925 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
367	VGRD:925 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
368	ABSV:925 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
369	CLWMR:925 mb	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
370	ICMR:925 mb	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
371	RWMR:925 mb	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
372	SNMR:925 mb	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
373	GRLE:925 mb	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
374	HGT:950 mb	Geopotential height [gpm]	0(Meteorological)	HGT
375	TMP:950 mb	Temperature [C]	0(Meteorological)	TMP
376	RH:950 mb	Relative humidity [%]	0(Meteorological)	RH
377	TCDC:950 mb	Total cloud cover [%]	0(Meteorological)	TCDC
378	VVEL:950 mb	Vertical velocity (pressure) [Pa/s]	0(Meteorological)	VVEL
379	DZDT:950 mb	Verical velocity (geometric) [m/s]	0(Meteorological)	DZDT
380	UGRD:950 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
381	VGRD:950 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
382	ABSV:950 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
383	CLWMR:950 mb	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
384	ICMR:950 mb	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
385	RWMR:950 mb	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
386	SNMR:950 mb	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
387	GRLE:950 mb	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
388	ICSEV:950 mb	Icing severity [-]	0(Meteorological)	ICSEV
389	HINDEX:surface	"(prodType 2, cat 4, subcat 2) [-]"	2(Land_Surface)	unknown
390	HGT:975 mb	Geopotential height [gpm]	0(Meteorological)	HGT
391	TMP:975 mb	Temperature [C]	0(Meteorological)	TMP
392	RH:975 mb	Relative humidity [%]	0(Meteorological)	RH
393	TCDC:975 mb	Total cloud cover [%]	0(Meteorological)	TCDC
394	VVEL:975 mb	Vertical velocity (pressure) [Pa/s]	0(Meteorological)	VVEL
395	DZDT:975 mb	Verical velocity (geometric) [m/s]	0(Meteorological)	DZDT
396	UGRD:975 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
397	VGRD:975 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
398	ABSV:975 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
399	CLWMR:975 mb	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
400	ICMR:975 mb	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
401	RWMR:975 mb	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
402	SNMR:975 mb	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
403	GRLE:975 mb	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
404	TMP:1000 mb	Temperature [C]	0(Meteorological)	TMP
405	RH:1000 mb	Relative humidity [%]	0(Meteorological)	RH
406	TCDC:1000 mb	Total cloud cover [%]	0(Meteorological)	TCDC
407	VVEL:1000 mb	Vertical velocity (pressure) [Pa/s]	0(Meteorological)	VVEL
408	DZDT:1000 mb	Verical velocity (geometric) [m/s]	0(Meteorological)	DZDT
409	UGRD:1000 mb	u-component of wind [m/s]	0(Meteorological)	UGRD
410	VGRD:1000 mb	v-component of wind [m/s]	0(Meteorological)	VGRD
411	ABSV:1000 mb	Absolute vorticity [1/s]	0(Meteorological)	ABSV
412	CLWMR:1000 mb	Cloud mixing ratio [kg/kg]	0(Meteorological)	CLWMR
413	ICMR:1000 mb	Ice water mixing ratio [kg/kg]	0(Meteorological)	ICMR
414	RWMR:1000 mb	Rain mixing ratio [kg/kg]	0(Meteorological)	RWMR
415	SNMR:1000 mb	Snow mixing ratio [kg/kg]	0(Meteorological)	SNMR
416	GRLE:1000 mb	Graupel (snow pellets) [kg/kg]	0(Meteorological)	GRLE
417	ICSEV:1000 mb	Icing severity [-]	0(Meteorological)	ICSEV
418	O3MR:1000 mb	Ozone Mixing Ratio [kg/kg]	0(Meteorological)	O3MR
419	MSLET:mean sea level	MSLP (Eta model reduction) [Pa]	0(Meteorological)	MSLET
420	HGT:1000 mb	Geopotential height [gpm]	0(Meteorological)	HGT
421	PRES:surface	Pressure [Pa]	0(Meteorological)	PRES
422	HGT:surface	Geopotential height [gpm]	0(Meteorological)	HGT
423	TMP:surface	Temperature [C]	0(Meteorological)	TMP
424	TSOIL:0-0.1 m below ground	Soil temperature [C]	2(Land_Surface)	TSOIL
425	SOILW:0-0.1 m below ground	Volumetric Soil Moisture Content [Fraction]	2(Land_Surface)	SOILW
426	TSOIL:0.1-0.4 m below ground	Soil temperature [C]	2(Land_Surface)	TSOIL
427	SOILW:0.1-0.4 m below ground	Volumetric Soil Moisture Content [Fraction]	2(Land_Surface)	SOILW
428	TSOIL:0.4-1 m below ground	Soil temperature [C]	2(Land_Surface)	TSOIL
429	SOILW:0.4-1 m below ground	Volumetric Soil Moisture Content [Fraction]	2(Land_Surface)	SOILW
430	TSOIL:1-2 m below ground	Soil temperature [C]	2(Land_Surface)	TSOIL
431	SOILW:1-2 m below ground	Volumetric Soil Moisture Content [Fraction]	2(Land_Surface)	SOILW
432	WEASD:surface	Water equivalent of accumulated snow depth [kg/(m^2)]	0(Meteorological)	WEASD
433	SNOD:surface	Snow depth [m]	0(Meteorological)	SNOD
434	PEVPR:surface	Potential Evaporation Rate [W/(m^2)]	0(Meteorological)	PEVPR
435	TMP:2 m above ground	Temperature [C]	0(Meteorological)	TMP
436	SPFH:2 m above ground	Specific humidity [kg/kg]	0(Meteorological)	SPFH
437	DPT:2 m above ground	Dew point temperature [C]	0(Meteorological)	DPT
438	RH:2 m above ground	Relative humidity [%]	0(Meteorological)	RH
439	APTMP:2 m above ground	Apparent Temperature [C]	0(Meteorological)	APTMP
440	TMAX:2 m above ground	Maximum temperature [C]	0(Meteorological)	TMAX
441	TMIN:2 m above ground	Minimum temperature [C]	0(Meteorological)	TMIN
442	UGRD:10 m above ground	u-component of wind [m/s]	0(Meteorological)	UGRD
443	VGRD:10 m above ground	v-component of wind [m/s]	0(Meteorological)	VGRD
444	ICEG:10 m above mean sea level	Ice growth rate [m/s]	10(Oceanographic_Products)	ICEG
445	CPOFP:surface	Percent frozen precipitation [%]	0(Meteorological)	CPOFP
446	CPRAT:surface	Convective precipitation rate [kg/(m^2*s)]	0(Meteorological)	CPRAT
447	PRATE:surface	Precipitation rate [kg/(m^2 s)]	0(Meteorological)	PRATE
448	CPRAT:surface	Convective Precipitation Rate [kg/(m^2*s)]	0(Meteorological)	CPRAT
449	PRATE:surface	Precipitation rate [kg/(m^2 s)]	0(Meteorological)	PRATE
450	APCP:surface	06 hr Total precipitation [kg/(m^2)]	0(Meteorological)	APCP06
451	APCP:surface	24 hr Total precipitation [kg/(m^2)]	0(Meteorological)	APCP24
452	ACPCP:surface	Convective precipitation [kg/(m^2)]	0(Meteorological)	ACPCP
453	ACPCP:surface	Convective precipitation [kg/(m^2)]	0(Meteorological)	ACPCP
454	WATR:surface	Water runoff [kg/(m^2)]	2(Land_Surface)	WATR
455	CSNOW:surface	Categorical Snow [0=no; 1=yes]	0(Meteorological)	CSNOW
456	CICEP:surface	Categorical Ice Pellets [0=no; 1=yes]	0(Meteorological)	CICEP
457	CFRZR:surface	Categorical Freezing Rain [0=no; 1=yes]	0(Meteorological)	CFRZR
458	CRAIN:surface	Categorical Rain [0=no; 1=yes]	0(Meteorological)	CRAIN
459	CSNOW:surface	Categorical Snow [0=no; 1=yes]	0(Meteorological)	CSNOW
460	CICEP:surface	Categorical Ice Pellets [0=no; 1=yes]	0(Meteorological)	CICEP
461	CFRZR:surface	Categorical Freezing Rain [0=no; 1=yes]	0(Meteorological)	CFRZR
462	CRAIN:surface	Categorical Rain [0=no; 1=yes]	0(Meteorological)	CRAIN
463	LHTFL:surface	Latent heat net flux [W/(m^2)]	0(Meteorological)	LHTFL
464	SHTFL:surface	Sensible heat net flux [W/(m^2)]	0(Meteorological)	SHTFL
465	GFLUX:surface	Ground Heat Flux [W/(m^2)]	2(Land_Surface)	GFLUX
466	UFLX:surface	Momentum flux; u component [N/(m^2)]	0(Meteorological)	UFLX
467	VFLX:surface	Momentum flux; v component [N/(m^2)]	0(Meteorological)	VFLX
468	U-GWD:surface	Zonal Flux of Gravity Wave Stress [N/(m^2)]	0(Meteorological)	U-GWD
469	V-GWD:surface	Meridional Flux of Gravity Wave Stress [N/(m^2)]	0(Meteorological)	V-GWD
470	WILT:surface	Wilting Point [Fraction]	2(Land_Surface)	WILT
471	FLDCP:surface	Field Capacity [fraction]	2(Land_Surface)	FLDCP
472	SUNSD:surface	SunShine duration [s]	0(Meteorological)	SUNSD
473	LFTX:surface	Surface Lifted Index [C]	0(Meteorological)	LFTX
474	CAPE:surface	Convective available potential energy [J/kg]	0(Meteorological)	CAPE
475	CIN:surface	Convective inhibition [J/kg]	0(Meteorological)	CIN
476	PWAT:entire atmosphere (considered as a single layer)	Precipitable water [kg/(m^2)]	0(Meteorological)	PWAT
477	CWAT:entire atmosphere (considered as a single layer)	Cloud water [kg/(m^2)]	0(Meteorological)	CWAT
478	RH:entire atmosphere (considered as a single layer)	Relative humidity [%]	0(Meteorological)	RH
479	TOZNE:entire atmosphere (considered as a single layer)	Total ozone [Dobson]	0(Meteorological)	TOZNE
480	TCDC:low cloud layer	Total cloud cover [%]	0(Meteorological)	TCDC
481	TCDC:middle cloud layer	Total cloud cover [%]	0(Meteorological)	TCDC
482	TCDC:high cloud layer	Total cloud cover [%]	0(Meteorological)	TCDC
483	TCDC:entire atmosphere	Total cloud cover [%]	0(Meteorological)	TCDC
484	PRES:convective cloud bottom level	Pressure [Pa]	0(Meteorological)	PRES
485	PRES:low cloud bottom level	Pressure [Pa]	0(Meteorological)	PRES
486	PRES:middle cloud bottom level	Pressure [Pa]	0(Meteorological)	PRES
487	PRES:high cloud bottom level	Pressure [Pa]	0(Meteorological)	PRES
488	PRES:convective cloud top level	Pressure [Pa]	0(Meteorological)	PRES
489	PRES:low cloud top level	Pressure [Pa]	0(Meteorological)	PRES
490	PRES:middle cloud top level	Pressure [Pa]	0(Meteorological)	PRES
491	PRES:high cloud top level	Pressure [Pa]	0(Meteorological)	PRES
492	TMP:low cloud top level	Temperature [C]	0(Meteorological)	TMP
493	TMP:middle cloud top level	Temperature [C]	0(Meteorological)	TMP
494	TMP:high cloud top level	Temperature [C]	0(Meteorological)	TMP
495	TCDC:convective cloud layer	Total cloud cover [%]	0(Meteorological)	TCDC
496	TCDC:boundary layer cloud layer	Total cloud cover [%]	0(Meteorological)	TCDC
497	CWORK:entire atmosphere (considered as a single layer)	Cloud Work Function [J/kg]	0(Meteorological)	CWORK
498	DSWRF:surface	Downward Short-Wave Rad. Flux [W/(m^2)]	0(Meteorological)	DSWRF
499	DLWRF:surface	Downward Long-Wave Rad. Flux [W/(m^2)]	0(Meteorological)	DLWRF
500	USWRF:surface	Upward Short-Wave Rad. Flux [W/(m^2)]	0(Meteorological)	USWRF
501	ULWRF:surface	Upward Long-Wave Rad. Flux [W/(m^2)]	0(Meteorological)	ULWRF
502	USWRF:top of atmosphere	Upward Short-Wave Rad. Flux [W/(m^2)]	0(Meteorological)	USWRF
503	ULWRF:top of atmosphere	Upward Long-Wave Rad. Flux [W/(m^2)]	0(Meteorological)	ULWRF
504	HLCY:3000-0 m above ground	Storm relative helicity [J/kg]	0(Meteorological)	HLCY
505	USTM:6000-0 m above ground	U-Component Storm Motion [m/s]	0(Meteorological)	USTM
506	VSTM:6000-0 m above ground	V-Component Storm Motion [m/s]	0(Meteorological)	VSTM
507	PRES:tropopause	Pressure [Pa]	0(Meteorological)	PRES
508	ICAHT:tropopause	ICAO Standard Atmosphere Reference Height [m]	0(Meteorological)	ICAHT
509	HGT:tropopause	Geopotential height [gpm]	0(Meteorological)	HGT
510	TMP:tropopause	Temperature [C]	0(Meteorological)	TMP
511	UGRD:tropopause	u-component of wind [m/s]	0(Meteorological)	UGRD
512	VGRD:tropopause	v-component of wind [m/s]	0(Meteorological)	VGRD
513	VWSH:tropopause	Vertical speed sheer [1/s]	0(Meteorological)	VWSH
514	PRES:max wind	Pressure [Pa]	0(Meteorological)	PRES
515	ICAHT:max wind	ICAO Standard Atmosphere Reference Height [m]	0(Meteorological)	ICAHT
516	HGT:max wind	Geopotential height [gpm]	0(Meteorological)	HGT
517	UGRD:max wind	u-component of wind [m/s]	0(Meteorological)	UGRD
518	VGRD:max wind	v-component of wind [m/s]	0(Meteorological)	VGRD
519	TMP:max wind	Temperature [C]	0(Meteorological)	TMP
520	UGRD:20 m above ground	u-component of wind [m/s]	0(Meteorological)	UGRD
521	VGRD:20 m above ground	v-component of wind [m/s]	0(Meteorological)	VGRD
522	UGRD:30 m above ground	u-component of wind [m/s]	0(Meteorological)	UGRD
523	VGRD:30 m above ground	v-component of wind [m/s]	0(Meteorological)	VGRD
524	UGRD:40 m above ground	u-component of wind [m/s]	0(Meteorological)	UGRD
525	VGRD:40 m above ground	v-component of wind [m/s]	0(Meteorological)	VGRD
526	UGRD:50 m above ground	u-component of wind [m/s]	0(Meteorological)	UGRD
527	VGRD:50 m above ground	v-component of wind [m/s]	0(Meteorological)	VGRD
528	TMP:80 m above ground	Temperature [C]	0(Meteorological)	TMP
529	SPFH:80 m above ground	Specific humidity [kg/kg]	0(Meteorological)	SPFH
530	PRES:80 m above ground	Pressure [Pa]	0(Meteorological)	PRES
531	UGRD:80 m above ground	u-component of wind [m/s]	0(Meteorological)	UGRD
532	VGRD:80 m above ground	v-component of wind [m/s]	0(Meteorological)	VGRD
533	TMP:100 m above ground	Temperature [C]	0(Meteorological)	TMP
534	UGRD:100 m above ground	u-component of wind [m/s]	0(Meteorological)	UGRD
535	VGRD:100 m above ground	v-component of wind [m/s]	0(Meteorological)	VGRD
536	TMP:1829 m above mean sea level	Temperature [C]	0(Meteorological)	TMP
537	UGRD:1829 m above mean sea level	u-component of wind [m/s]	0(Meteorological)	UGRD
538	VGRD:1829 m above mean sea level	v-component of wind [m/s]	0(Meteorological)	VGRD
539	TMP:2743 m above mean sea level	Temperature [C]	0(Meteorological)	TMP
540	UGRD:2743 m above mean sea level	u-component of wind [m/s]	0(Meteorological)	UGRD
541	VGRD:2743 m above mean sea level	v-component of wind [m/s]	0(Meteorological)	VGRD
542	TMP:3658 m above mean sea level	Temperature [C]	0(Meteorological)	TMP
543	UGRD:3658 m above mean sea level	u-component of wind [m/s]	0(Meteorological)	UGRD
544	VGRD:3658 m above mean sea level	v-component of wind [m/s]	0(Meteorological)	VGRD
545	HGT:0C isotherm	Geopotential height [gpm]	0(Meteorological)	HGT
546	RH:0C isotherm	Relative humidity [%]	0(Meteorological)	RH
547	HGT:highest tropospheric freezing level	Geopotential height [gpm]	0(Meteorological)	HGT
548	RH:highest tropospheric freezing level	Relative humidity [%]	0(Meteorological)	RH
549	TMP:30-0 mb above ground	Temperature [C]	0(Meteorological)	TMP
550	RH:30-0 mb above ground	Relative humidity [%]	0(Meteorological)	RH
551	SPFH:30-0 mb above ground	Specific humidity [kg/kg]	0(Meteorological)	SPFH
552	UGRD:30-0 mb above ground	u-component of wind [m/s]	0(Meteorological)	UGRD
553	VGRD:30-0 mb above ground	v-component of wind [m/s]	0(Meteorological)	VGRD
554	4LFTX:surface	Best (4 layer) Lifted Index [C]	0(Meteorological)	4LFTX
555	CAPE:180-0 mb above ground	Convective available potential energy [J/kg]	0(Meteorological)	CAPE
556	CIN:180-0 mb above ground	Convective inhibition [J/kg]	0(Meteorological)	CIN
557	HPBL:surface	Planetary Boundary Layer Height [m]	0(Meteorological)	HPBL
558	RH:0.33-1 sigma layer	Relative humidity [%]	0(Meteorological)	RH
559	RH:0.44-1 sigma layer	Relative humidity [%]	0(Meteorological)	RH
560	RH:0.72-0.94 sigma layer	Relative humidity [%]	0(Meteorological)	RH
561	RH:0.44-0.72 sigma layer	Relative humidity [%]	0(Meteorological)	RH
562	TMP:0.995 sigma level	Temperature [C]	0(Meteorological)	TMP
563	POT:0.995 sigma level	Potential temperature [C]	0(Meteorological)	POT
564	RH:0.995 sigma level	Relative humidity [%]	0(Meteorological)	RH
565	UGRD:0.995 sigma level	u-component of wind [m/s]	0(Meteorological)	UGRD
566	VGRD:0.995 sigma level	v-component of wind [m/s]	0(Meteorological)	VGRD
567	VVEL:0.995 sigma level	Vertical velocity (pressure) [Pa/s]	0(Meteorological)	VVEL
568	CAPE:255-0 mb above ground	Convective available potential energy [J/kg]	0(Meteorological)	CAPE
569	CIN:255-0 mb above ground	Convective inhibition [J/kg]	0(Meteorological)	CIN
570	PLPL:255-0 mb above ground	Pressure of level from which parcel was lifted [Pa]	0(Meteorological)	PLPL
571	LAND:surface	Land cover (1=land; 2=sea) [Proportion]	2(Land_Surface)	LAND
572	ICEC:surface	Ice cover [Proportion]	10(Oceanographic_Products)	ICEC
573	ALBDO:surface	Albedo [%]	0(Meteorological)	ALBDO
574	UGRD:PV=2e-06 (Km^2/kg/s) surface	u-component of wind [m/s]	0(Meteorological)	UGRD
575	VGRD:PV=2e-06 (Km^2/kg/s) surface	v-component of wind [m/s]	0(Meteorological)	VGRD
576	TMP:PV=2e-06 (Km^2/kg/s) surface	Temperature [C]	0(Meteorological)	TMP
577	HGT:PV=2e-06 (Km^2/kg/s) surface	Geopotential height [gpm]	0(Meteorological)	HGT
578	PRES:PV=2e-06 (Km^2/kg/s) surface	Pressure [Pa]	0(Meteorological)	PRES
579	VWSH:PV=2e-06 (Km^2/kg/s) surface	Vertical speed sheer [1/s]	0(Meteorological)	VWSH
580	UGRD:PV=-2e-06 (Km^2/kg/s) surface	u-component of wind [m/s]	0(Meteorological)	UGRD
581	VGRD:PV=-2e-06 (Km^2/kg/s) surface	v-component of wind [m/s]	0(Meteorological)	VGRD
582	TMP:PV=-2e-06 (Km^2/kg/s) surface	Temperature [C]	0(Meteorological)	TMP
583	HGT:PV=-2e-06 (Km^2/kg/s) surface	Geopotential height [gpm]	0(Meteorological)	HGT
584	PRES:PV=-2e-06 (Km^2/kg/s) surface	Pressure [Pa]	0(Meteorological)	PRES
585	VWSH:PV=-2e-06 (Km^2/kg/s) surface	Vertical speed sheer [1/s]	0(Meteorological)	VWSH
586	PRMSL:mean sea level	Pressure reduced to MSL [Pa]	0(Meteorological)	PRMSL
587	5WAVH:500 mb	5-Wave Geopotential Height [gpm]	0(Meteorological)	5WAVH
588	LANDN:surface	Land-sea coverage (nearest neighbor) [0=sea; 1=land]	2(Land_Surface)	LANDN
